,follower_idea,leader_idea,PR
0,984d94edb13b11ebbd8d5e80f8f2101b,7ed3449db13511ebbd8d5e80f8f2101b,5.0
1,97c9a9cbb2e611eb860b5e80f8f2101b,87228f64b2d111eb860b5e80f8f2101b,5.0
2,98167826b2eb11eb860b5e80f8f2101b,ff170ddab2ce11eb860b5e80f8f2101b,5.0
3,26e0c88db39011eb860b5e80f8f2101b,cedd692eb21b11ebab175e80f8f2101b,4.0
4,476bcffeb6d111eb860b5e80f8f2101b,ff170ddab2ce11eb860b5e80f8f2101b,0.1
5,476bcffeb6d111eb860b5e80f8f2101b,98167826b2eb11eb860b5e80f8f2101b,1.0
6,6b26461eb6b811eb860b5e80f8f2101b,325efb08b47911eb860b5e80f8f2101b,3.0
7,4a98b7aeb6aa11eb860b5e80f8f2101b,de16c480b16111ebbd8d5e80f8f2101b,0.1
8,1b8c3131b6aa11eb860b5e80f8f2101b,8b535a45b14411ebbd8d5e80f8f2101b,0.1
9,639d1839b6a911eb860b5e80f8f2101b,0e15d16bb47b11eb860b5e80f8f2101b,3.0
10,8cae1e52b6bc11eb860b5e80f8f2101b,b6a906dbb2fe11eb860b5e80f8f2101b,1.0
11,6a222705b77d11ebbd3b5e80f8f2101b,1233fdb0b45c11eb860b5e80f8f2101b,2.0
12,4ba30482b78511ebbd3b5e80f8f2101b,d8c65a7bb6d111eb860b5e80f8f2101b,5.0
13,eb9fe9bbb7a311ebbd3b5e80f8f2101b,e482992db79b11ebbd3b5e80f8f2101b,5.0
14,2901d3e4b77e11ebbd3b5e80f8f2101b,ff170ddab2ce11eb860b5e80f8f2101b,0.1
15,2901d3e4b77e11ebbd3b5e80f8f2101b,98167826b2eb11eb860b5e80f8f2101b,0.1
16,2901d3e4b77e11ebbd3b5e80f8f2101b,476bcffeb6d111eb860b5e80f8f2101b,5.0
17,3396e5a4b6f211eb860b5e80f8f2101b,0e15d16bb47b11eb860b5e80f8f2101b,2.0
18,3396e5a4b6f211eb860b5e80f8f2101b,639d1839b6a911eb860b5e80f8f2101b,5.0
19,65ebfa07b84511ebbd3b5e80f8f2101b,bff9e986b44d11eb860b5e80f8f2101b,0.1
20,32c0240cb84111ebbd3b5e80f8f2101b,93993b67b2f011eb860b5e80f8f2101b,0.1
21,5807aa6cb84a11ebbd3b5e80f8f2101b,0e15d16bb47b11eb860b5e80f8f2101b,1.0
22,5807aa6cb84a11ebbd3b5e80f8f2101b,639d1839b6a911eb860b5e80f8f2101b,3.0
23,5807aa6cb84a11ebbd3b5e80f8f2101b,3396e5a4b6f211eb860b5e80f8f2101b,4.0
24,7210e2e6b93011ebbd3b5e80f8f2101b,97c9a9cbb2e611eb860b5e80f8f2101b,0.1
25,7210e2e6b93011ebbd3b5e80f8f2101b,87228f64b2d111eb860b5e80f8f2101b,0.1
26,b9a0a08cba0011ebbd3b5e80f8f2101b,b6a906dbb2fe11eb860b5e80f8f2101b,0.1
27,b9a0a08cba0011ebbd3b5e80f8f2101b,8cae1e52b6bc11eb860b5e80f8f2101b,1.0
